"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.535472292E0,-1.364424638E-2,1.364627294E-2,-1.583126932E-1
3.545417292E0,-2.065354213E-2,4.690508824E-3,-1.548647285E-1
3.555361292E0,-5.638905335E-3,4.487575963E-3,-1.491107047E-1
3.565306292E0,2.385411970E-2,1.274602395E-2,-1.513933092E-1
3.575251292E0,4.328481108E-2,1.248263754E-2,-1.517626941E-1
3.585195292E0,4.980137944E-2,4.432717804E-3,-1.488893330E-1
3.595140292E0,4.551502317E-2,-5.177032202E-3,-1.433054805E-1
3.605085292E0,3.193049133E-2,-1.676517539E-2,-1.422786564E-1
3.615029292E0,2.256948128E-2,-2.230960876E-2,-1.443681717E-1
3.624974292E0,1.561730541E-2,-1.772088557E-2,-1.550306231E-1
3.634919292E0,1.084705070E-2,-1.228670590E-2,-1.645974964E-1
3.644863292E0,1.616512984E-2,-8.791375905E-3,-1.731099337E-1
3.654808292E0,3.247193247E-2,3.813099582E-3,-1.775694042E-1
3.664753292E0,5.091619119E-2,1.661376655E-2,-1.800550371E-1
3.674697292E0,6.211078912E-2,1.722203381E-2,-1.810212433E-1
3.684642292E0,6.417232007E-2,1.533452328E-2,-1.776085794E-1
3.694587292E0,5.906650424E-2,-8.722876199E-3,-1.779420078E-1
3.704531292E0,5.207908154E-2,-1.937288791E-2,-1.823751181E-1
3.714476292E0,5.384581909E-2,-1.488280017E-2,-1.882077008E-1
3.724421292E0,6.353715807E-2,6.276059896E-3,-1.929867864E-1
